Date,TotalCases,TotalDeaths,GlobalDeathRate
2020-06-02,121964,4677,3.8300
2020-06-03,114249,5432,4.7500
2020-06-04,130944,5034,3.8400
2020-06-05,131223,4578,3.4900
2020-06-06,133737,3769,2.8200
2020-06-07,112363,2740,2.4400
2020-06-08,102497,3702,3.6100
2020-06-09,125060,4774,3.8200
2020-06-10,135105,5043,3.7300
2020-06-11,138020,4640,3.3600
2020-06-12,128765,4209,3.2700
2020-06-13,135289,4116,3.0400
2020-06-14,132284,3400,2.5700
2020-06-15,119658,3416,2.8500
2020-06-16,142084,6710,4.7200
2020-06-17,143746,5147,3.5800
2020-06-18,141063,4910,3.4800
2020-06-19,179915,6066,3.3700
2020-06-20,157448,4109,2.6100
2020-06-21,127702,4014,3.1400
2020-06-22,139361,3562,2.5600
2020-06-23,166809,5217,3.1300
2020-06-24,172594,5175,3.0000
2020-06-25,178381,4692,2.6300
2020-06-26,191597,4748,2.4800
2020-06-27,178132,4463,2.5100
2020-06-28,163871,3166,1.9300
2020-06-29,155347,3678,2.3700
2020-06-30,174542,4885,2.8000
2020-07-01,217607,4945,2.2700
2020-07-02,209945,5075,2.4200
2020-07-03,201385,4927,2.4500
2020-07-04,193809,4404,2.2700
2020-07-05,184003,3489,1.9000
2020-07-06,163975,3845,2.3400
2020-07-07,211362,5967,2.8200
2020-07-08,214159,5275,2.4600
2020-07-09,226827,5407,2.3800
2020-07-10,232674,5299,2.2800
2020-07-11,216482,4818,2.2300
2020-07-12,192274,3987,2.0700
2020-07-13,191444,3911,2.0400
2020-07-14,222188,5597,2.5200
2020-07-15,231468,5446,2.3500
2020-07-16,251312,5772,2.3000
2020-07-17,242742,6668,2.7500
2020-07-18,236178,5597,2.3700
2020-07-19,213434,4081,1.9100
2020-07-20,207116,4210,2.0300
2020-07-21,233681,6169,2.6400
2020-07-22,279868,6947,2.4800
2020-07-23,282854,9888,3.5000
2020-07-24,281074,6030,2.1500
2020-07-25,254054,5569,2.1900
2020-07-26,213036,3713,1.7400
2020-07-27,226530,5183,2.2900
2020-07-28,252785,6265,2.4800
2020-07-29,291728,6607,2.2600
2020-07-30,280100,6050,2.1600
2020-07-31,290744,6186,2.1300
2020-08-01,248338,5455,2.2000
2020-08-02,230992,4326,1.8700
2020-08-03,206475,4686,2.2700
2020-08-04,257942,6530,2.5300
2020-08-05,276575,7051,2.5500
2020-08-06,285202,6491,2.2800
2020-08-07,282239,6288,2.2300
2020-08-08,258518,5414,2.0900
2020-08-09,224683,4572,2.0300
2020-08-10,226029,5353,2.3700
2020-08-11,257570,6199,2.4100
2020-08-12,276647,6568,2.3700
2020-08-13,289216,6214,2.1500
2020-08-14,303748,10138,3.3400
2020-08-15,247708,5356,2.1600
2020-08-16,214470,4264,1.9900
2020-08-17,207732,4180,2.0100
2020-08-18,258256,6807,2.6400
2020-08-19,279590,6727,2.4100
2020-08-20,272554,6072,2.2300
2020-08-21,261205,5438,2.0800
2020-08-22,264251,5498,2.0800
2020-08-23,206149,3954,1.9200
2020-08-24,225268,4506,2.0000
2020-08-25,244001,6286,2.5800
2020-08-26,283793,6226,2.1900
2020-08-27,283895,5894,2.0800
2020-08-28,283627,5529,1.9500
2020-08-29,263793,5321,2.0200
2020-08-30,220965,4044,1.8300
2020-08-31,262891,4177,1.5900
2020-09-01,264925,6401,2.4200
2020-09-02,283504,6109,2.1500
2020-09-03,281419,5684,2.0200
2020-09-04,314016,5869,1.8700
2020-09-05,269991,4940,1.8300
2020-09-06,230465,3845,1.6700
2020-09-07,217882,9373,4.3000
2020-09-08,242199,4914,2.0300
2020-09-09,284822,6105,2.1400
2020-09-10,299876,5804,1.9400
2020-09-11,321370,5851,1.8200
2020-09-12,286578,4881,1.7000
2020-09-13,242719,3715,1.5300
2020-09-14,263752,4440,1.6800
2020-09-15,285462,6426,2.2500
2020-09-16,304535,5780,1.9000
2020-09-17,314886,5468,1.7400
2020-09-18,325921,5668,1.7400
2020-09-19,292119,5279,1.8100
2020-09-20,252114,3739,1.4800
2020-09-21,276086,4102,1.4900
2020-09-22,284514,5972,2.1000
2020-09-23,276092,5610,2.0300
2020-09-24,353037,6654,1.8800
2020-09-25,330870,5903,1.7800
2020-09-26,288442,5345,1.8500
2020-09-27,251391,3687,1.4700
2020-09-28,254780,3975,1.5600
2020-09-29,282668,5902,2.0900
2020-09-30,326210,6464,1.9800
2020-10-01,318303,8715,2.7400
2020-10-02,297866,4936,1.6600
2020-10-03,332044,5363,1.6200
2020-10-04,261397,3839,1.4700
2020-10-05,301023,6947,2.3100
2020-10-06,326519,5776,1.7700
2020-10-07,350997,5836,1.6600
2020-10-08,361327,6278,1.7400
2020-10-09,360897,6150,1.7000
2020-10-10,357101,4882,1.3700
2020-10-11,286912,4033,1.4100
